"title"	"content"
"'반값' 아이폰·패드 내놓은 애플…\"그래도 비싸다\""	"  \"가격 눈에 띄게 인하해야\"…KT경제경영연구소 보고서 (서울=연합뉴스) 한지훈 기자 = 애플이 반값 수준의 아이폰과 아이패드를 새로 선보였지만 신흥시장에서는 여전히 비싼 가격이어서 현지 중저가 단말과 경쟁이 어려울 수 있다는 분석이 제기됐다.     KT경제경영연구소는 1일 보고서에서 \"아이폰SE가 매력적인 단말임에는 틀림 없지만 인도 같은 신흥시장에서는 하이엔드 단말 가격과 유사한 수준\"이라며 \"판매 효과가 크지 않을 수 있다\"고 분석했다.        앞서 애플은 지난달 21일(현지시간) 미국에서 새로운 아이폰SE와 9.7인치 아이패드, 빨간색 아이폰7과 아이폰7플러스를 출시한다고 밝혔다.    애플은 아이폰SE를 기존 16GB와 64GB 모델 대신 32GB와 128GB 모델로 출시했으나, 가격을 기존 모델과 동일하게 책정해 사실상 가격을 인하했다. 아이폰SE 32GB 모델은 399달러(44만5천원), 128GB 모델은 499달러(55만7천원)다.     애플은 또 새로운 9.7인치 아이패드를 출시했다. 디스플레이 성능을 개선하고 저장 공간을 늘렸으나 가격을 329달러(36만7천원)로 낮췄다. 9인치대 아이패드 가운데 가장 저렴한 가격이다.     새 아이폰SE와 아이패드는 아이폰7이나 아이패드 프로 등 정규 라인업 제품과 비교해 가격이 '반값'에 가깝다.    애플은 출시한 지 수년이 지난 모델을 다시 출시하기도 했다. 최근 중국, 대만, 인도에 아이폰6 32GB 모델을 재출시했고, 이르면 이달부터 인도에서 아이폰6와 아이폰6s를 생산해 판매할 예정이다.    KT경제경영연구소는 \"애플이 글로벌 주요 시장의 아이폰5C 이하 모델 사용자와 신흥시장 사용자를 위해 아이폰SE를 새로 출시한 것으로 보인다\"며 \"예전 모델이나 중고 단말도 활용한다\"고 설명했다.     다만, 연구소는 애플이 더 적극적인 시장 대응에 나서야 한다고 진단했다.     연구소는 \"최근 인도에서 샤오미, 오포, 비보 등 중국 업체들이 10만원대 단말을 출시하면서 현지 제조사를 밀어내고 삼성전자까지 위협하고 있다\"며 \"애플이 실제로 가격을 눈에 띄게 인하해 단말을 판매할 필요가 있다\"고 강조했다. 애플 아이폰SE[애플 홈페이지 화면 캡처]    hanjh@yna.co.kr최신 유행 트렌드 총집결 #흥(클릭!)"
"밤에 스마트폰 쓰면 면역력 약한 아기 낳을수도"	"  [동아일보]美연구팀 “빛공해로 생체리듬 깨져, 내분비 이상… 정자-난자에도 영향”낮엔 밝고, 밤엔 어두운 것이 인간을 포함한 동물들이 오랜 기간에 걸쳐 적응한 생체리듬이다. 미국 연구진이 밤중에 스마트폰이나 텔레비전 같은 인공불빛에 노출돼 생체리듬이 깨져 발생한 건강상 문제가 자손에게까지 전달된다는 연구 결과를 발표했다. 랜디 넬슨 미국 오하이오주립대 신경과학과 교수팀은 빛공해로 생체리듬이 깨진 햄스터에게서 태어난 새끼는 선천적으로 면역력 저하 및 호르몬 불균형의 문제를 가진다는 점을 실험으로 확인하고, 그 연구 결과를 학술지 ‘사이언티픽 리포츠’ 31일자에 발표했다.  연구진은 암수 햄스터를 낮엔 밝고, 밤엔 어두운 보편적 생체리듬 환경에서 9주간 지내도록 했다. 그 뒤 햄스터를 4그룹으로 나눠 밤에 인공적인 불빛을 가한 조건에 암컷만, 수컷만 혹은 암수 모두 노출시키거나 암수 모두 일반적 환경에 두는 서로 다른 조건에 노출시킨 후 교배를 시켰다. 태어난 새끼의 상태를 분석한 결과 암컷과 수컷 중 어느 한 마리라도 빛공해에 노출된 햄스터의 새끼는 선천적으로 면역력이 약하고, 내분비 교란으로 인한 호르몬 불균형 문제를 가진 것으로 나타났다. 넬슨 교수는 “아직 동물실험으로 증명한 수준이지만 사람 역시 빛공해로 인한 건강상의 피해가 유전될 수 있다는 가능성을 보여준 것”이라며 “정자와 난자 모두 영향을 받기 때문에 부부가 모두 밤 시간대에 스마트폰, 텔레비전과 같은 인공불빛에 노출되는 것을 최소화하도록 조심해야 한다”고 말했다.권예슬 동아사이언스 기자 yskwon@donga.com▶ 동아일보 단독 / 동아일보 공식 페이스북▶ \"아직도 당신만 모르나 VODA\"ⓒ 동아일보 & donga.com, 무단 전재 및 재배포 금지"
"WSJ \"올해 스마트폰 전쟁 치열…미국이 최대 격전지 될 것\""	"  갤럭시S8 시리즈 호평에 가을에 나올 애플 신제품도 혁신 담을 듯(뉴욕=연합뉴스) 박성제 특파원 = 삼성전자의 갤럭시S8 시리즈가 좋은 평가를 받으면서 올해 스마트폰 고객을 뺏기 위한 전쟁이 어느 해보다 치열해질 것이라는 전망이 나오고 있다.     미국의 경제전문지 월스트리트저널(WSJ)은 31일(현지시간) 갤럭시S8 시리즈가 지난 29일 공개된 데 이어 올 가을에는 애플이 아이폰 출시 10주년을 기념해 신제품을 내놓을 것이라면서 두 회사 간 치열한 시장 경쟁을 예상했다.삼성전자의 갤럭시S8(왼쪽)과 갤럭시S8플러스[AP=연합뉴스 자료사진]    스마트폰 시장은 성숙단계로 접어든 데다 고객들은 다른 회사의 제품으로 갈아타지 않으려는 경향이 있어 시장점유율을 올리기가 쉽지 않다. 지난해 출시된 신제품에 혁신이 부족했던 것도 갈아타기 욕구를 자극하지 못한 요인이었다.    하지만 갤럭시S8은 새로운 혁신을 불어넣었다. 전체화면에서 디스플레이가 차지하는 비율을 83%로 높여 몰입감을 좋게 했으며, 인공지능(AI) 비서격인 빅스비를 장착해 사용자의 편의성을 높였다. 잠금해제 기능에 얼굴인식을 포함한 것도 특징이다.    애플이 가을에 내놓을 제품도 아이폰7과는 차이가 클 것이라는 관측이 지배적이다. 아이폰7은 기존 제품의 기능을 약간 개선하는데 그쳤다는 비판을 받았다.    전문가들은 갤럭시S8은 갤럭시노트7 발화사고로 막대한 피해를 본 삼성전자가 시장의 신뢰를 회복하기 위해 내놓은 야심작이며, 애플 또한 아이폰7에 쏟아졌던 비판을 만회하기 위해 차기 제품에는 혁신을 담을 것으로 보고 치열한 고객 쟁탈전을 점치고 있다.     시장조사기관 IHS 마르키트의 웨인 램 애널리스트는 \"올해는 이례적으로 갈아타기가 많은 해가 될 것 같다\"며 \"갤럭시S8이 인상 깊은 디자인을 갖춘 데다가 차기 아이폰이 가을에 나오는 점도 부분적인 이유\"라고 설명했다.2017년 3월 29일 뉴욕에서 열린 삼성전자의 갤럭시S8 시리즈 언팩행사[AP=연합뉴스 자료사진]    애플이 내놓을 신제품은 새로운 디스플레이를 적용하고 무선 충전 기능과 안면인식 기능 등이 들어갈 것으로 전문가들은 보고 있다.    하지만 아이폰의 가격이 1천 달러(약 111만9천 원)를 넘을 것이라는 예상이 지배적이어서 가격경쟁력에서 갤럭시S8에 뒤질 가능성이 제기된다. 갤럭시S8과 갤럭시S8플러스는 각각 750달러, 850달러 수준에서 판매가격이 정해질 것으로 관측되고 있다.     구겐하임 파트너스의 롭 치러 애널리스트는 \"아이폰의 비싼 가격이 충성고격을 떨어져 나가게 할 수 있을 것\"으로 내다봤다.     두 회사 간 최대 격전이 벌어질 시장은 미국이 될 것으로 월스트리트저널은 예상했다. 중국, 인도 등의 시장은 낮은 가격의 제품을 선호하는 고객이 상대적으로 많은 데 비해 미국에서는 성능을 보고 구입하려는 고객이 많기 때문이다.    지난해 미국의 스마트폰 시장점유율을 보면 애플 32.5%, 삼성 25.7%(스트레이터지 애널리틱스 통계 기준)였다. 전년과 비교할 때 애플은 2.8% 포인트 떨어지고 삼성은 2.1% 포인트 올라간 것이다.     컨슈머 인텔리전스 리서치 파트너스에 따르면 작년에 아이폰 고객의 15%가 안드로이드폰(삼성전자 제품 포함)으로 바꿨으며, 반대로 안드로이드폰 고객의 11%가 아이폰으로 갈아탔다.    후발 업체들의 전략도 두 선두업체의 전쟁에 변수가 될 수 있다. 중국의 화웨이는 지난달 새로운 제품을 출시하면서 2021년까지 선두업체들을 따라잡겠다고 선언했으며, 구글도 작년 말에 내놓은 새 픽셀폰으로 시장 영향력을 키워가고 있다.    sungje@yna.co.kr최신 유행 트렌드 총집결 #흥(클릭!)"
"스마트폰 라디오 있어도 못 쓴다, 재난 시 '무용지물'"	"  [뉴스데스크]◀ 앵커 ▶휴대전화에 신호가 잡히지 않아도 라디오는 들을 수 있다고 합니다.해외에서는 각종 재난 상황에서 이 기술을 요긴하게 활용하고 있는데요.정작 IT 강국이라는 우리의 사정은 다릅니다.장현주 기자입니다. ◀ 리포트 ▶지난해 경주 지진 당시 전화도, SNS 메신저도 먹통이 됐습니다.[김수영]\"엄마한테, 신랑한테 전화하려고 하니까 갑자기 전화도 안 되고, 문자도 안 보내지고….\"2011년, 동일본 대지진.피해 지역 주민들은 휴대전화에 귀를 기울였습니다.통신망은 끊겼지만, 라디오 수신 기능으로 외부 상황을 파악한 겁니다.우리나라의 사정은 어떨까?휴대전화의 와이파이 수신 칩에는 라디오 전파를 받는 기능도 들어가 있지만 대부분 이 기능이 막혀 있습니다.제조업체들은 RF 안테나 추가 탑재로 인한 단말기 설계와 디자인 변경, 원가 상승 등을 이유로 통신업체들은 데이터 이용 수입 감소를 우려해 라디오 수신 기능 활성화에 소극적입니다.[이상운/남서울대 교수]\"(통신사들이) 데이터 판매라든지 혹은 광고를 붙여서 수익을 얻을 수 있기 때문에….\"정부는 라디오를 통한 재난 방송 대신 휴대전화의 DMB 서비스를 대안으로 꼽고 있지만 수신이 불안정한 곳이 많습니다.안테나 역할을 하는 이어폰까지 연결했지만 끊김 현상은 계속됐고, 이렇게 이어폰마저 없으면 사실상 무용지물입니다.터널이나 지하철도 마찬가지입니다.[김휘래]\"대여섯 정거장 오면서 두세 차례 정도 끊김 현상이 있었는데\"국민안전처가 개발한 '재난 안전 앱' 역시 도심에서조차 끊기기 일쑤인데다 이 또한 통신망이 마비되면 무용지물입니다.미국에서는 연방재난안전청이 나서 재난에 대비한 휴대전화 라디오 수신 기능의 활성화를 이끌었습니다.지난해 국회에는 휴대전화의 라디오 수신을 의무화하는 법 개정안이 발의됐지만 반년 넘게 관련 상임위에 발이 묶여 있습니다. MBC뉴스 장현주입니다.장현주기자 (hjang@mbc.co.kr)[저작권자(c) MBC (www.imnews.com) 무단복제-재배포 금지]Copyright(c) Since 1996, MBC&iMBC All rights reserved."
"김상헌 네이버 전 대표, 작년 연봉 24억"	"[아이뉴스24 민혜정기자] 김상헌 네이버 전 대표가 지난해 연봉 24억원을 받았다. 인센티브가 포함된 상여금이 기본 급여보다 많았다.31일 네이버 사업보고서에 따르면 김상헌 전 대표는 지난해 보수로 24억원을 수령했다. 급여로 9억을, 상여금으로 15억원을 받았다.이와 관련 네이버는 \"김상헌 전 대표는 네이버 CEO로서 2015년 영업수익 3조3천억원, 영업이익 7천622억 등 성장을 이끌고, 내부 혁신을 이끈 성과를 인정해 성과 인센티브로 6억원을 지급했다\"고 설명했다.이어 \"또 개인의 성과와 기여도 등을 고려하는 장기성과인센티브로 8억9천만원 수준의 장기성과인센티브를 지급했다\"고 덧붙였다.한편 이달 의장직에서 물러난 이해진 창업주는 11억8천만원을 받았다. 급여로 5억4천만원, 상여로 5억4천400만원을 수령했다./민혜정기자 hye555@inews24.com▶프리미엄 뉴스서비스 아이뉴스24▶연예스포츠 조이뉴스24, 생생한 라이브캐스트[ⓒ 아이뉴스24 무단전재 및 재배포 금지]"
"中 화웨이 성장속도 거북이걸음…지난해 순이익 0.4%↑"	"  (서울=연합뉴스) 김경윤 기자 = 무서운 속도를 자랑하던 중국 스마트폰 제조업체 화웨이(華爲)의 성장세가 주춤하고 있다.    화웨이는 31일(현지시간) 연례 보고서를 통해 지난해 순이익이 전년보다 0.4% 늘어난 371억 위안(약 6조원)으로 집계됐다고 밝혔다고 미국 CNBC 방송 등이 보도했다.    이는 2015년도 순이익이 전년 대비 32% 뛰었던 것과 비교하면 초라한 결과로, 2011년 이후 5년 만의 최악의 성적이다.    지난해 매출액은 전년보다 32% 증가한 5천216억 위안을 기록했다.[EPA=연합뉴스 자료사진]    삼성전자, 애플에 이어 세계 3위 스마트폰 제조업체로 꼽히는 화웨이의 지난해 스마트폰 출하량은 1억3천900만대에 달했다.    스마트폰 사업을 포함한 소비자 사업부문의 매출은 전년보다 44% 늘어난 1천798억 위안이었다.    하지만 중국 내 시장에서는 오포, 비보와 같은 경쟁업체의 압박에 시달리고 있으며 해외에서는 애플, 삼성전자와 맞서기 위해 연구개발에 상당한 돈을 쏟아붓고 있다.    네트워크 장비 사업 매출은 24%, 데이터센터 구축 등 기업 부문 매출은 47% 늘었다.     이처럼 매출은 큰 폭으로 늘었지만 연구개발(R&D) 및 마케팅에 들이는 비용이 어마어마한 것이 문제다.    화웨이의 지난해 마진율은 7.1%로 전년도 9.3%보다 줄어들었다.    리서치업체 캐널리스의 니콜 펑은 \"매출의 급격한 증가가 바로 이윤에 기여하는 것은 아니다\"라며 \"2017년은 (화웨이에) 종전보다 쉽지 않은 한 해가 될 것\"이라고 전망했다.    heeva@yna.co.kr최신 유행 트렌드 총집결 #흥(클릭!)"
"이통3사 벚꽃축제 '비상'…트래픽 폭주 대비 기지국 증설(종합)"	"  (서울=연합뉴스) 고현실 한지훈 기자 = 4월부터 전국 곳곳에서 벚꽃 축제를 비롯한 봄맞이 행사가 잇따르는 가운데 이동통신업체들이 데이터 폭주에 대비해 기지국 증설에 나섰다.    SK텔레콤은 진해 군항제가 열리는 창원시 진해구 중원로터리 인근에 이동기지국 1대, LTE 기지국 28대, 와이파이 접속 장치(AP) 8대를 증설했고, 서울 여의도 일대에 이동기지국 1대, LTE 기지국 7대, 와이파이 접속장치 34대를 추가로 설치했다.    SK텔레콤은 이들 지역의 LTE 데이터 사용량이 최고 35% 증가할 것으로 예상하고 있다.    SK텔레콤은 다음 달 10일까지 특별 소통 상황실을 운영하면서 자사 이동통신 서비스를 집중 모니터링하고 이상이 발생하면 즉시 대응에 나설 계획이다.     KT도 여의도 일대에 이동기지국 3대, 기지국 14대, 와이파이 AP 10대를 증설해 평소보다 2.5배 많은 트래픽을 수용할 수 있도록 했다. 진해에는 기지국 26대를 추가로 설치해 트래픽 수용량을 2배로 늘렸다.    LG유플러스는 여의도와 진해 행사 장소에 각각 LTE 기지국 3대를 증설하고, 공주 동학사 벚꽃축제 행사장에는 이동기지국을 배치했다. 서울 상암사옥에는 종합상황실을 마련해 축제 기간 실시간 모니터링 체계를 강화할 예정이다.다음달 1일 진해 군항제가 열리는 창원시 진해구 중원로터리 인근에서 SK직원들이 기지국을 점검하고 있다. [SK텔레콤 제공]    hanjh@yna.co.kr최신 유행 트렌드 총집결 #흥(클릭!)"
"갤럭시S8, 두명의 비서가 동시에…'구글 어시스턴트'도 탑재"	"  [머니투데이 이하늘 기자] [자체개발 '빅스비' 21일 서비스…구글 어시스턴트도 병행 탑재 ]삼성전자 갤럭시S8에서 음성기반 AI '빅스비'가 작동하는 모습. /사진제공= 삼성전자다음달 21일 공식 출시되는 삼성전자 전략 스마트폰 ‘갤럭시S8·S8+’에 독자 음성 인공지능(AI) 비서 ‘빅스비’ 외에 ‘구글 어시스턴트’도 탑재될 전망이다. 결과적으로 ‘갤럭시S8’ 이용자들은 복수의 음성비서를 쓸 수 있게 된 셈이다.31일 삼성전자 관계자는 “갤럭시S8에는 빅스비 한국어 버전을 시작으로 향후 주요 언어 서비스를 점진적으로 내놓을 것”이라며 “아울러 ‘안드로이드 7.0’(누가) 운영체제(OS)부터 적용된 구글의 AI 서비스 구글 어시스턴트도 함께 탑재될 예정”이라고 말했다. 빅스비는 삼성전자가 지난 29일(현지시간) 공개된 갤럭시S8의 대표 핵심 기능이다. 단 한번의 음성 명령만으로 정보 검색은 물론 갤러리, 전화번호부, 설정, 메시지, 카메라 등 스마트폰 내부 기능을 실행할 수 있다. 갤러리, 연락처, 설정, 메시지, 카메라 등 삼성 자체 앱과 한국어를 지원하며, 향후 개발도구(SDK) 공개를 통해 다양한 앱과 연동될 예정이다. 삼성전자는 빅스비를 스마트폰과 사용자가 소통하는 인터페이스로 진화시키고, 독자적인 AI 생태계를 구축하겠다는 청사진까지 내놨다.그럼에도 경쟁 서비스라 할 수 있는 ‘구글 어시스턴트’를 갤럭시S8에 함께 탑재키로 한 이유는 삼성전자와 구글이 지난 2014년 맺은 안드로이드 비경쟁계약(Non-compete Pact)이 영향을 미친 것으로 보인다. 이 계약에는 구글의 서비스와 경쟁하는 서비스를 출시할 수 없다는 내용이 담긴 것으로 알려졌다. 실제 올 초 삼성이 ‘빅스비’를 갤럭시S8에 탑재키로 한 것에 구글이 강하게 이의를 제기했고, 때문에 빅스비 탑재가 어려울 것이라는 소문도 흘러나왔다. 그러나 양사가 그동안 견고한 안드로이드 동맹체제를 유지해왔다는 점에서 결국 ‘빅스비’와 ‘구글 어시스턴트’를 병행 탑재하는 선에서 합의점을 도출한 것 아니겠느냐는 해석이 나오고 있다. ‘빅스비’는 우선 삼성 자체 앱 실행 명령 위주로 서비스될 예정이어서, 정보 검색 기반의 ‘구글 어시스턴트’와는 서비스 충돌이 크지 않을 것이라는 점도 고려된 것으로 보인다.다음달 21일 ‘갤럭시S8’이 정식 출시되더라도 국내 사용자들은 ‘구글 어시스턴트’를 사용하긴 어려울 전망이다. 구글 어시스턴트는 현재 영어와 독일어 서비스만 제공된다. 구글은 현재 한국어 버전 개발에 속도를 내고 있지만, 아직 구체적인 한국어 지원 로드맵을 내놓지 못하고 있다. 업계에선 이르면 연말쯤 한국어 서비스가 지원될 것으로 알려졌다. 이 경우, 구글 어시스턴트가 탑재돼 있는 LG전자 G6 뿐 아니라 갤럭시S8에서도 동시에 한국어 서비스를 이용할 수 있게된다. 관심을 모았던 삼성 ‘빅스비’대 LG ‘구글 어시스턴트’간 대결구도는 성립되지 않을 전망이다. 삼성전자 관계자는 “빅스비는 우선적으로 스마트폰의 기능을 실행하고 이용자 요청을 수행하는데 집중했고, 구글 어시스턴트는 검색 기반 정보전달에 특화됐다고 보면 된다”며 “갤럭시S8 사용자는 상황 및 자신에게 최적화된 AI를 선택할 수 있고, 삼성과 구글 역시 경쟁을 통해 AI 서비스의 품질을 향상시킬 수 있을 것”이라고 말했다. [▶깊이있는 투자정보 'TOM칼럼'][▶트렌드 리더의 스타일 지침서 '스타일M'][▶빵빵한 차&레이싱걸]이하늘 기자 iskra@mt.co.kr"
"LG유플러스, 화웨이 P9·P9플러스 출고가 22만원 인하"	"  LG유플러스가 갤럭시S8 출시를 앞두고 화웨이 P9·P9플러스 출고가를 낮췄다.31일 LG유플러스는 화웨이P9과 P9플러스 출고가를 22만원 인하했다. 화웨이 P9는 당초 출고가 59만9500원에서 37만9500원, P9플러스는 69만9600원에서 47만9600원으로 내려갔다.화웨이 P9 스마트폰화웨이 P9이 지난해 4월 출시 당시 해외 판매가가 599유로(약 75만원), 749유로(약 94만원)으로 책정된 것을 고려하면, 1년 새 출고가가 절반 수준으로 떨어진 셈이다.LG유플러스 관계자는 “제조사와 협의, 시장 상황을 반영해 출고가를 인하했다”고 말했다.지원금은 하향 조정했다. 데이터스페셜D(월 11만원대) 요금제 기준, 최대 33만원에서 11만5000원으로 낮췄다.함지현기자 goham@etnews.com▶ 전자신문 인기 포스트▶ 전자신문 공식 페이스북▶ 전자신문 바로가기 [Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
"中 화웨이, 지난해 순익 0.4% 성장…5년來 가장 둔화"	"화웨이 로고. ⓒ AFP=뉴스1오포, 비보 등 새 경쟁사에 시장점유율 뺏겨(서울=뉴스1) 정혜민 기자 = 세계 3위 스마트폰 제조사 화웨이의 지난해 순익 성장세가 5년 만에 가장 둔화했다. 중국 내 경쟁이 치열해진 영향이다. 화웨이는 2016년 순이익이 전년비 0.4% 늘어난 371억위안(약 6조200억원)을 기록했다고 31일 발표했다. 2011년 이후 가장 부진한 성장세다.매출은 32% 증가한 1798억위안(약 29조2300원)이었다. 2015년(35%)에 비해 매출 성장세가 소폭 둔화했다.경쟁 스마트폰 제조사들이 급부상하면서 중국 내 경쟁도 치열해지고 있다. 화웨이는 오포(OPPO)와 비보(Vivo) 등 경쟁사에 시장점유율을 뺏기고 있는 실정이다.지난해 화웨이의 스마트폰 출하량은 1억3900만 대였다. 화웨이의 목표량인 1억4000만 대보다는 약간 부진했지만 1년 전에 비해 29% 늘었다.hemingway@news1.kr▶ 놓치면 후회! 최신 만화 보기 / 2017년 나의 운세 보기▶ 여러분의 제보를 기다립니다. 제보하기(클릭!)[ⓒ 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]"
